"","Year","Council","ClaimantsAsPropOf16_65Pop","ClaimantCountAged16_24AtMarch","Population16_24","Proportion16_24AreClaimants"
"151","2013/14","Orkney Islands",1.1,45,2188,2.1
"152","2013/14","Perth and Kinross",1.9,465,14682,3.2
"153","2013/14","Renfrewshire",3.9,1055,19176,5.5
"154","2013/14","Scottish Borders",2.6,525,10419,5
"155","2013/14","Shetland Islands",1,35,2395,1.5
"156","2013/14","South Ayrshire",3.7,635,11237,5.7
"157","2013/14","South Lanarkshire",3.5,2030,33142,6.1
"158","2013/14","Stirling",2.5,400,13049,3.1
"159","2013/14","West Dunbartonshire",5.2,785,10136,7.7
"160","2013/14","West Lothian",3,1045,19036,5.5
"161","2014/15","Aberdeen City",1.2,335,33860,1
"162","2014/15","Aberdeenshire",0.8,285,25474,1.1
"163","2014/15","Angus",1.8,340,11791,2.9
"164","2014/15","Argyll and Bute",2,230,8747,2.6
"165","2014/15","Clackmannanshire",3,270,5361,5
"166","2014/15","Dumfries and Galloway",2.1,460,14458,3.2
"167","2014/15","Dundee City",3.5,825,23460,3.5
"168","2014/15","East Ayrshire",3.8,750,13196,5.7
"169","2014/15","East Dunbartonshire",1.4,235,11589,2
"170","2014/15","East Lothian",1.9,315,10731,2.9
"171","2014/15","East Renfrewshire",1.4,185,10179,1.8
"172","2014/15","City of Edinburgh",1.8,1215,67809,1.8
"173","2014/15","Na h-Eileanan Siar",2.4,50,2315,2.2
"174","2014/15","Falkirk",2.5,610,16328,3.7
"175","2014/15","Fife",2.7,1705,41844,4.1
"176","2014/15","Glasgow City",3.7,3280,83781,3.9
"177","2014/15","Highland",1.7,525,22011,2.4
"178","2014/15","Inverclyde",3.3,410,8725,4.7
"179","2014/15","Midlothian",1.9,290,8993,3.2
"180","2014/15","Moray",1.5,250,9929,2.5
"181","2014/15","North Ayrshire",4.3,855,14612,5.9
"182","2014/15","North Lanarkshire",3.2,1780,37743,4.7
"183","2014/15","Orkney Islands",0.7,25,2141,1.2
"184","2014/15","Perth and Kinross",1.3,305,15132,2
"185","2014/15","Renfrewshire",2.9,670,19171,3.5
"186","2014/15","Scottish Borders",1.8,320,10447,3.1
"187","2014/15","Shetland Islands",0.7,25,2396,1
"188","2014/15","South Ayrshire",2.8,415,11189,3.7
"189","2014/15","South Lanarkshire",2.7,1340,32982,4.1
"190","2014/15","Stirling",1.7,260,12805,2
"191","2014/15","West Dunbartonshire",4.2,540,10042,5.4
"192","2014/15","West Lothian",2,675,19007,3.6
"193","2015/16","Aberdeen City",2,500,33084,1.5
"194","2015/16","Aberdeenshire",1.5,500,25355,2
"195","2015/16","Angus",2.1,375,11705,3.2
"196","2015/16","Argyll and Bute",1.8,190,8705,2.2
"197","2015/16","Clackmannanshire",2.8,250,5360,4.7
"198","2015/16","Dumfries and Galloway",1.8,425,14319,3
"199","2015/16","Dundee City",3.5,830,22685,3.7
"200","2015/16","East Ayrshire",3.3,555,12978,4.3
"201","2015/16","East Dunbartonshire",1.2,180,11340,1.6
"202","2015/16","East Lothian",1.7,275,10806,2.5
"203","2015/16","East Renfrewshire",1.1,120,10045,1.2
"204","2015/16","City of Edinburgh",1.6,1050,67290,1.6
"205","2015/16","Na h-Eileanan Siar",2.3,55,2292,2.4
"206","2015/16","Falkirk",2.3,565,16316,3.5
"207","2015/16","Fife",2.5,1385,41763,3.3
"208","2015/16","Glasgow City",3.2,3000,83586,3.6
"209","2015/16","Highland",1.8,515,22278,2.3
"210","2015/16","Inverclyde",3,340,8599,4
"211","2015/16","Midlothian",1.7,250,9094,2.7
"212","2015/16","Moray",1.9,280,9982,2.8
"213","2015/16","North Ayrshire",4.3,855,14627,5.8
"214","2015/16","North Lanarkshire",2.9,1590,37700,4.2
"215","2015/16","Orkney Islands",0.9,35,2069,1.7
"216","2015/16","Perth and Kinross",1.2,255,15217,1.7
"217","2015/16","Renfrewshire",2.7,610,19003,3.2
"218","2015/16","Scottish Borders",1.9,340,10330,3.3
"219","2015/16","Shetland Islands",1,40,2395,1.7
"220","2015/16","South Ayrshire",2.5,375,10993,3.4
"221","2015/16","South Lanarkshire",2.3,1150,33035,3.5
"222","2015/16","Stirling",1.6,260,13182,2
"223","2015/16","West Dunbartonshire",3.9,550,9850,5.6
"224","2015/16","West Lothian",1.8,555,19080,2.9
"225","2016/17","Aberdeen City",2.4,635,30991,2
"226","2016/17","Aberdeenshire",1.6,550,24979,2.2
"227","2016/17","Angus",2.2,435,11502,3.8
"228","2016/17","Argyll and Bute",1.8,190,8746,2.2
"229","2016/17","Clackmannanshire",2.9,250,5374,4.7
"230","2016/17","Dumfries and Galloway",1.9,375,14021,2.7
"231","2016/17","Dundee City",3.3,775,21707,3.6
"232","2016/17","East Ayrshire",3.5,630,12665,5
"233","2016/17","East Dunbartonshire",1.4,210,11124,1.9
"234","2016/17","East Lothian",2.4,320,10763,3
"235","2016/17","East Renfrewshire",1.3,180,10050,1.8
"236","2016/17","City of Edinburgh",1.5,950,66603,1.4
"237","2016/17","Na h-Eileanan Siar",2.2,45,2271,2
"238","2016/17","Falkirk",2.4,590,16165,3.6
"239","2016/17","Fife",2.7,1490,41569,3.6
"240","2016/17","Glasgow City",3.3,2865,83453,3.4
"241","2016/17","Highland",2,520,22033,2.4
"242","2016/17","Inverclyde",3.6,330,8358,3.9
"243","2016/17","Midlothian",1.8,255,8958,2.8
"244","2016/17","Moray",2.1,320,9952,3.2
"245","2016/17","North Ayrshire",4.1,800,14396,5.6
"246","2016/17","North Lanarkshire",2.8,1460,37284,3.9
"247","2016/17","Orkney Islands",1.1,35,2000,1.8
"248","2016/17","Perth and Kinross",1.3,285,15008,1.9
"249","2016/17","Renfrewshire",2.7,615,18894,3.3
"250","2016/17","Scottish Borders",1.9,305,10438,2.9
"251","2016/17","Shetland Islands",1,40,2357,1.7
"252","2016/17","South Ayrshire",2.6,395,10886,3.6
"253","2016/17","South Lanarkshire",2.3,1125,32706,3.4
"254","2016/17","Stirling",1.7,250,13348,1.9
"255","2016/17","West Dunbartonshire",3.7,450,9666,4.7
"256","2016/17","West Lothian",2,620,18921,3.3
"257","2017/18","Aberdeen City",2.2,615,28821,2.1
"258","2017/18","Aberdeenshire",1.4,485,24316,2
"259","2017/18","Angus",2.6,470,11287,4.2
